                           TOPIK I Vocabulary（Beginner）


No.          한글               English         No.          한글                English
1149 위치          location, position                       1189 이십          20
1150 위하다         for, in favor of, for the sake of        1190 이야기         story
1151 위험하다        dangerous                                1191 이야기하다       talk
1152 유럽          Europe                                   1192 이용          usage
1153 유리          glass                                    1193 이용하다        use
1154 유명하다        famous                                   1194 이월          February
1155 유월          June                                     1195 이유          reason
1156 유학          study abroad                             1196 이제          now
1157 유학생         foreign student, international student   1197 이집트         Egypt
1158 유행          trend                                    1198 이쪽          this way, here, this person
1159 육           6                                        1199 이틀          two days
1160 육십          60                                       1200 이해          understanding
                         TOPIK I Vocabulary（Beginner）


No.         한글                English            No.         한글               English
1201 이해하다        understand                      1241 입다          put on, wear
1202 인           sign, ~ person(s)               1242 입원하다        hospitalize
1203 인구          population                      1243 입학          admission
1204 인기          popularity                      1244 있다          have, there
1205 인기스타        popular star                    1245 잊다          forget
1206 인도          India                           1246 잊어버리다       forget
1207 인사          greetings                       1247 자           character, Here we go.
1208 인사하다        greet                           1248 자기          myself, own
1209 인삼          ginseng                         1249 자다          sleep
1210 인상          impression                      1250 자동차         car, automobile
1211 인천          Incheon                         1251 자동차회사       car company
1212 인터넷         internet                        1252 자료          material, document
1213 인터뷰하다       interview                       1253 자르다         cut
1214 인형          doll                            1254 자리          seat, location
1215 일           work, 1, day                    1255 자신          myself, own
1216 일곱          7                               1256 자연          nature
1217 일기          diary                           1257 자유          freedom
1218 일기예보        weather forecast                1258 자장면         Jajangmyeon
1219 일본          Japan                           1259 자전거         bicycle
1220 일본드라마       Japanese drama                  1260 자주          often
1221 일본말         Japanese language               1261 작년          last year
1222 일본사람        Japanese people                 1262 작다          small
1223 일본어         Japanese language               1263 작은아버지       uncle
1224 일본요리        Japanese food                   1264 작은어머니       aunt
1225 일상생활        everyday life                   1265 잔           glass, ~ cup(s)
1226 일식          Japanese style, Japanese food   1266 잔치          party, feast
1227 일어나다        rise, stand, occur              1267 잘           well
1228 일어서다        get up, stand up                1268 잘못          mistake
1229 일요일         Sunday                          1269 잘생기다        handsome
1230 일월          January                         1270 잘하다         do well, good at
1231 일주일         one week                        1271 잠           slumbers, sleep
1232 일찍          early                           1272 잠깐          for a while, a little
1233 일하다         work                            1273 잠시          for a bit, for a while, a little
1234 일흔          70                              1274 잠자다         sleep, go to bed
1235 읽기          reading                         1275 잡다          catch, grab, hold
1236 읽다          read                            1276 잡수시다        eat (honorific form)
1237 잃다          lose                            1277 잡지          magazine
1238 잃어버리다       lose                            1278 장           ~ chapter(s), ~ sheet(s)
1239 입           mouth                           1279 장갑          gloves
1240 입구          entrance                        1280 장마          rainy season
                          TOPIK I Vocabulary（Beginner）


No.         한글                 English      No.         한글                English
1281 장마철         rainy season               1321 젓가락         chopsticks
1282 장미          rose                       1322 정거장         station, depot
1283 장소          place                      1323 정도          degree
1284 장점          advantage                  1324 정류장         station, bus stop
1285 재료          material                   1325 정리하다        straighten out, organize
1286 재미없다        not funny, uninteresting   1326 정말          really, truly
1287 재미있다        interesting                1327 정문          front door, main gate
1288 재킷          jacket                     1328 정보          information
1289 저           that                       1329 정하다         choose, establish
1290 저거          that                       1330 제가          I
1291 저것          that                       1331 제목          title
1292 저곳          over there                 1332 제일          most
1293 저기          there, over there          1333 제주도         Jeju Island
1294 저녁          dinner, evening, night     1334 조금          a little
1295 저녁식사        dinner                     1335 조사하다        investigate
1296 저렇게         like that, in that way     1336 조선          shipbuilding, Korea
1297 저분          that person                1337 조선말         Korean language
1298 저쪽          there, over there          1338 조선어         Korean language
1299 저희          we                         1339 조심하다        be careful, warn
1300 적           enemy                      1340 조용하다        silent, quiet
1301 적다          be few, write down         1341 조용히         quietly
1302 전           all, before                1342 조카          nephew
1303 전공          major                      1343 졸업          graduation
1304 전기자동차       electric car               1344 졸업하다        graduate
1305 전자사전        electronic dictionary      1345 좀           a little
1306 전하다         tell                       1346 좀더          a little more
1307 전혀          not at all                 1347 좁다          narrow
1308 전화          telephone                  1348 종로          Jong-ro
1309 전화기         telephone                  1349 종류          kind, type
1310 전화번호        phone number               1350 종업원         employee
1311 절           ~ section(s), temple       1351 종이          paper
1312 절대          never, absolutely          1352 종일          all day
1313 젊다          young                      1353 좋다          good
1314 점           point                      1354 좋아하다        like
1315 점수          score, point               1355 죄송하다        sorry
1316 점심          lunch                      1356 주           week
1317 점심시간        lunchtime                  1357 주다          give
1318 점심식사        lunch                      1358 주로          mainly
1319 점원          clerk                      1359 주말          weekend
1320 점퍼          jacket                     1360 주머니         pocket, pouch
                          TOPIK I Vocabulary（Beginner）


No.         한글               English                 No.         한글                 English
1361 주무시다        sleep, rest                         1401 지다          lose
1362 주문하다        order                               1402 지도          map
1363 주변          around                              1403 지방          fat, region
1364 주부          housewife                           1404 지우개         eraser
1365 주사          injection                           1405 지키다         protect
1366 주소          address                             1406 지하          underground
1367 주스          juice                               1407 지하도         underpass
1368 주위          around                              1408 지하철         subway
1369 주인          owner                               1409 지하철역        subway station
1370 주차장         parking lot                         1410 직업          job, profession
1371 주차하다        park                                1411 직원          employee, staff
1372 주황색         orange color                        1412 직장          workplace
1373 죽           bamboo, porridge                    1413 직접          directly, direct
1374 죽다          die                                 1414 진달래         azalea
1375 준비          preparation                         1415 질           quality
1376 준비하다        prepare                             1416 질문          question
1377 줄           line, column, string                1417 질문하다        ask a question
1378 줄다          shrink, decrease                    1418 짐           load, baggage
1379 중           medium, during                      1419 집           house, shop
1380 중국          China                               1420 짓다          build, create
1381 중국어         Chinese                             1421 짜다          salty, make (the plan)
1382 중국집         Chinese restaurant                  1422 짜리          a value (won coin)
1383 중식          Chinese cuisine                     1423 짧다          short
1384 중심          center                              1424 쪽           side, page
1385 중요          importance                          1425 쯤           about, around ~
1386 중요하다        important                           1426 찌개          stew, soup
1387 중학교         middle school, Junior high school   1427 찍다          pierce, take (a photo), press
1388 중학생         middle school student               1428 차           car, tea
1389 즐거워하다       have fun                            1429 차갑다         cold
1390 즐겁다         fun, be pleasant                    1430 차다          kick
1391 즐기다         enjoy, have fun                     1431 차리다         prepare, arrange
1392 증세          symptom, medical condition          1432 착하다         be good, friendly
1393 지각          tardy, being late                   1433 참           really, very
1394 지갑          wallet                              1434 창문          window
1395 지금          now                                 1435 찾다          find, visit
1396 지나다         pass by                             1436 찾아가다        go to visit
1397 지난달         last month                          1437 찾아오다        come to visit
1398 지난번         last time                           1438 채소          vegetable
1399 지난주         last week                           1439 책           book
1400 지내다         stay, spend, live                   1440 책방          bookstore
                          TOPIK I Vocabulary（Beginner）


No.         한글                English                No.         한글                English
1441 책상          desk                                1481 층           layer, ~ floor
1442 책임          responsibility                      1482 치과          dentist, dentistry
1443 책장          bookshelf                           1483 치료하다        treat
1444 처음          first, for the first time           1484 치마          skirt
1445 처음 뵙겠습니다    Nice to meet you.                   1485 치약          toothpaste
1446 천           1000                                1486 친구          friend
1447 천천히         slowly                              1487 친절하다        be kind
1448 철           iron, season                        1488 친척          relative
1449 첫           first                               1489 친하다         close, familiar
1450 첫째          first                               1490 칠           7
1451 청바지         blue jeans                          1491 칠십          70
1452 청소기         vacuum cleaner                      1492 칠월          July
1453 청소하다        sweep, clean                        1493 칠판          blackboard
1454 초           ~second(s)                          1494 침대          bed
1455 초대하다        invite                              1495 칫솔          toothbrush
1456 초등학교        elementary school                   1496 카드          card
1457 초등학생        elementary student                  1497 카레          curry
1458 초록색         green color                         1498 카메라         camera
1459 초콜릿         chocolate                           1499 카페          cafe, coffee shops
1460 촬영하다        take a picture                      1500 칼           knife, cutlery, swords
1461 최고          best, the highest                   1501 캐나다         Canada
1462 추다          dance                               1502 커피          coffee
1463 추석          Chusoku (Korean Thanksgiving Day)   1503 커피숍         coffee shop
1464 추억          memory                              1504 컴퓨터         computer, PC
1465 축구          football, soccer                    1505 컵           cup
1466 축제          festival                            1506 케이크         cake
1467 축하          celebration                         1507 켜다          turn on (the light, the power, etc.)
1468 축하하다        celebrate                           1508 코           nose
1469 축하합니다       congratulations                     1509 코트          coat
1470 출구          exit                                1510 코피          nosebleed
1471 출근하다        go to work                          1511 콜라          Coke
1472 출발          start, departure                    1512 콧노래         humming
1473 출발하다        depart                              1513 콧물          snot, nasal discharge
1474 출장          business trip                       1514 콩           bean, soy
1475 춤           dance                               1515 크기          size
1476 춤추다         dance                               1516 크다          big, large
1477 춥다          cold                                1517 크리스마스       Christmas
1478 취미          hobby                               1518 큰아버지        uncle
1479 취소하다        cancel                              1519 큰어머니        aunt
1480 취직하다        get a job                           1520 키           key, height
                           TOPIK I Vocabulary（Beginner）


No.         한글                English            No.         한글               English
1521 킬로그램        kilogram                        1561 펜           pen
1522 킬로미터        kilometer                       1562 펴다          spread, stretch
1523 타다          ride, get on                    1563 편           side, episode
1524 타월          towel                           1564 편지          letter
1525 탁구          table tennis                    1565 편하다         comfortable, easy, convenient
1526 태국          Thailand                        1566 평양          Pyongyang
1527 태권도         Taekwondo                       1567 평일          weekday
1528 태어나다        be born                         1568 포도          grape
1529 태풍          typhoon                         1569 포장          packing
1530 택시          taxi                            1570 표           table, ticket
1531 탤런트         entertainers                    1571 표현          expression
1532 터미널         terminal                        1572 푹           deeply
1533 테니스         tennis                          1573 풀           pool, grass
1534 테이블         table                           1574 풀다          solve
1535 텔레비전        TV                              1575 프랑스         France
1536 토마토         tomato                          1576 프로그램        program
1537 토요일         Saturday                        1577 프린트         print
1538 통           barrel, ~ package(s)            1578 피           blood
1539 통장          bank book, (deposit) passbook   1579 피곤하다        tired
1540 통하다         pass, lead                      1580 피다          bloom
1541 퇴근하다        leave the office                1581 피아노         piano
1542 특별히         especially                      1582 피우다         smoke, bloom
1543 특징          characteristic, feature         1583 피자          pizza
1544 특히          especially, in particular       1584 필름          film
1545 틀다          turn on (the switch)            1585 필요          necessity
1546 틀리다         wrong                           1586 필요하다        need
1547 티셔츠         t-shirt                         1587 필통          pencil case
1548 팀           team                            1588 하나          1
1549 파           wave, green onion               1589 하늘          sky
1550 파란색         blue color                      1590 하늘색         sky blue, light blue
1551 파랗다         blue                            1591 하다          do, say
1552 파티          party                           1592 하루          one day
1553 팔           8                               1593 하숙          boarding house, lodging house
1554 팔다          sell                            1594 하숙집         boarding house, lodging house
1555 팔리다         sell, be sold                   1595 하얀색         white color
1556 팔십          80                              1596 하얗다         white
1557 팔월          August                          1597 하지만         but, however
1558 패션          fashion                         1598 학           crane
1559 퍼센트         percent                         1599 학교          school
1560 페이지         page                            1600 학기          semester
                           TOPIK I Vocabulary（Beginner）


No.         한글                  English                       No.         한글               English
1601 학년          grade, school year                           1641 호주          Australia
1602 학생          student                                      1642 호텔          hotel
1603 학생증         student ID card                              1643 혼자          alone
1604 학원          academy, school                              1644 홈페이지        home page
1605 한           one, one of the ~                            1645 홍차          black tea
1606 한강          Han River, Hangang                           1646 화           anger
1607 한국          Korea                                        1647 화가          artist, painter
1608 한국드라마       Korean drama                                 1648 화나다         angry
1609 한국말         Korean language                              1649 화내다         get angry
1610 한국사람        Korean people                                1650 화요일         Tuesday
1611 한국어         Korean language                              1651 화장실         restroom, toilet, lavatory
1612 한국요리        Korean cuisine                               1652 화장품         cosmetics
1613 한글          Hangul                                       1653 화장하다        makeup
1614 한번          once                                         1654 확인하다        confirm, check
1615 한복          Hanbok, Korean traditional clothes           1655 환영하다        welcome
1616 한식          Korean cuisine                               1656 환자          patient
1617 한자          Chinese character                            1657 회사          company
1618 할머니         grandmother                                  1658 회사원         employee
1619 할아버지        grandfather                                  1659 회색          grey
1620 할인          sale, discount                               1660 회의          conference
1621 함께          together                                     1661 횡단보도        crosswalk
1622 합격          pass                                         1662 후           after
1623 항상          always                                       1663 후배          Junior
1624 해           year, sun                                    1664 휴가          vacation, holiday
1625 해외          overseas                                     1665 휴대전화        cell phone, mobile phone
1626 해외여행        overseas trip                                1666 휴일          holiday
1627 핸드폰         cell phone, mobile phone                     1667 휴지          toilet paper
1628 햄버거         hamburger                                    1668 휴지통         trash can
1629 햇빛          sunshine, sunlight                           1669 흐리다         cloudy
1630 행복          happiness                                    1670 흰색          white color
1631 행복하다        happy                                        1671 힘           power
1632 행사          event
1633 허리          waist, hip
1634 현금          cash
1635 현재          now, current
1636 형           brother (as seen from the younger brother)

1637 형님          big brother (honorific form)
1638 형제          sibling
1639 호           No. ~
1640 호랑이         tiger

