                           TOPIK I Vocabulary（Beginner）


No.          한글               English         No.          한글                English
260   끝나다         finish, end                    300   내리다         go down
261   끝내다         finish                         301   내용          content
262   끼다          put on, plug, (fog) rolls in   302   내일          tomorrow
263   나           I                              303   냄비          pot
264   나가다         go out, get out                304   냄새          smell
265   나누다         share, divide                  305   냉면          cold noodle
266   나다          occur, come out                306   냉장고         refrigerator
267   나라          country                        307   너           you
268   나무          tree                           308   너무          too, very
269   나빠지다        spoil, deteriorate             309   넓다          wide
270   나쁘다         bad                            310   넘다          exceed, more than
271   나오다         come out, appear               311   넘어지다        fall down, fall
272   나이          age, old                       312   넣다          put in
273   나중          later, after                   313   네           yes, 4
274   나타나다        appear                         314   넥타이         necktie
275   나흘          four days                      315   넷           4
276   낚시          fishing                        316   넷째          fourth
277   날           day                            317   년           year
278   날씨          weather                        318   노란색         yellow color
279   날짜          date                           319   노랗다         yellow
280   남           south, man                     320   노래          song
                            TOPIK I Vocabulary（Beginner）


No.          한글                 English                       No.          한글                 English
321   노래방         Karaoke shop                                361   다음달         next month
322   노래하다        sing                                        362   다음주         next week
323   노력하다        endeavor, strive                            363   다음해         next year, following year
324   노트          note                                        364   다이어트        diet
325   녹색          green                                       365   다치다         hurt
326   녹차          green tea                                   366   닦다          wipe, polish
327   놀다          play                                        367   단어          word
328   놀라다         be surprised                                368   단점          disadvantage, shortcoming, drawback

329   농구          basketball                                  369   닫다          close
330   높다          high                                        370   닫히다         shut, close
331   놓다          put                                         371   달           month, moon
332   누가          who                                         372   달걀          egg
333   누구          who                                         373   달다          sweet
334   누나          sister (as seen from the younger brother)   374   달러          dollar
335   누르다         press down, push                            375   달력          calendar
336   눈           eye, snow                                   376   달리다         run
337   눈물          tear                                        377   닭           chicken, hen
338   눈사람         snowman                                     378   닭고기         chicken
339   눈싸움         staring contest, snowball fight             379   닮다          resemble
340   눕다          lie down, sleep                             380   담그다         dip, pickle
341   뉴스          news                                        381   담배          tobacco
342   뉴욕          New York                                    382   답장          reply
343   느끼다         feel                                        383   당근          carrot
